Отметка времени,Месяц операции,Название операции,Сумма,Категория,Регулярная трата,Номер месяца
2/26/2024 18:57:51,Январь,Кино,350.00,Развлечения,Ложь,01 Январь
2/26/2024 18:58:25,Февраль,ТО,12000.00,Авто,Истина,02 Февраль
2/26/2024 18:58:45,Март,Продукты,5000.00,Еда,Истина,03 Март
2/26/2024 19:00:08,Апрель,Штаны,1000.00,Одежда,Ложь,04 Апрель
2/26/2024 19:00:27,Май,Таблетки,6000.00,Медицина,Ложь,05 Май
2/26/2024 19:00:54,Июнь,Страховка,50000.00,Другое,Истина,06 Июнь
2/26/2024 19:01:40,Июль,Театр,3000.00,Развлечения,Ложь,07 Июль
2/26/2024 19:02:12,Август,Пицца,1000.00,Еда,Ложь,08 Август
2/26/2024 19:07:17,Сентябрь,Трусы,500.00,Одежда,Ложь,09 Сентябрь
2/26/2024 19:07:53,Октябрь,Отпуск,150000.00,Другое,Истина,10 Октябрь
2/26/2024 19:08:19,Ноябрь,Бар,15000.00,Развлечения,Ложь,11 Ноябрь
2/26/2024 19:08:51,Декабрь,Мясо,3000.00,Еда,Ложь,12 Декабрь
2/26/2024 19:10:07,Апрель,Ремонт,10000.00,Авто,Истина,04 Апрель
2/26/2024 19:10:40,Июль,Пиво,700.00,Развлечения,Ложь,07 Июль
2/26/2024 19:11:21,Декабрь,Лыжи,5000.00,Развлечения,Ложь,12 Декабрь
2/26/2024 19:11:52,Февраль,Куртка,7000.00,Одежда,Ложь,02 Февраль
2/26/2024 19:12:52,Май,Кино,700.00,Развлечения,Ложь,05 Май
3/1/2024 7:48:52,Июль,Замена резины,3000.00,Авто,Истина,07 Июль
3/1/2024 7:51:31,Март,Сервис,10000.00,Авто,Истина,03 Март
3/1/2024 7:56:51,Сентябрь,Сигнализация,25000.00,Авто,Ложь,09 Сентябрь
3/1/2024 8:00:50,Август,Фитнес,2000.00,Другое,Ложь,08 Август
3/1/2024 8:02:00,Январь,Проезд,1000.00,Другое,Истина,01 Январь
3/1/2024 8:03:05,Июль,ЖКХ,5000.00,Другое,Истина,07 Июль
3/1/2024 8:04:11,Май,Банкет,35000.00,Еда,Ложь,05 Май
3/1/2024 8:04:53,Сентябрь,Ужин,5000.00,Еда,Ложь,09 Сентябрь
3/1/2024 8:05:44,Январь,Стоматология,50000.00,Медицина,Истина,01 Январь
3/1/2024 8:06:42,Август,Пилинг,15000.00,Медицина,Ложь,08 Август
3/1/2024 8:08:01,Ноябрь,Диагностика,5000.00,Медицина,Ложь,11 Ноябрь
3/1/2024 8:08:39,Июнь,Стоматология,5000.00,Медицина,Истина,06 Июнь
3/1/2024 8:09:37,Июль,Шуба,75000.00,Одежда,Ложь,07 Июль
3/1/2024 8:10:25,Декабрь,Купальник,5000.00,Одежда,Ложь,12 Декабрь
3/1/2024 8:10:58,Апрель,Куртка,15000.00,Одежда,Ложь,04 Апрель
